127.0.0.1 - - [06/Aug/2025 04:50:09] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 04:50:54] code 404, message File not found
127.0.0.1 - - [06/Aug/2025 04:50:54] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [06/Aug/2025 05:12:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:05] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:20] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:12:45] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:11] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:13:36] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:25] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:33] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:34] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /src/js/puzzle/PuzzleManager.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /src/js/puzzle/GameBoard.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /src/js/puzzle/MatchDetector.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /src/js/puzzle/MoveValidator.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /src/js/puzzle/Block.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /src/js/puzzle/GravitySystem.js HTTP/1.1" 200 -
127.0.0.1 - - [06/Aug/2025 05:14:37] code 404, message File not found
127.0.0.1 - - [06/Aug/2025 05:14:37] "GET /favicon.ico HTTP/1.1" 404 -
